========================================================================
NUMERIC-KEYSTREAM skip-tolerant sweep  (Campaign XVIII / numeric_skip.py)
========================================================================
Pages: [0]..[54]  (55 pages)  |  max_len=277  |  ks_len=1176
Signs: {-1,+1}  |  Atbash: {0,1}  |  Offsets: [0, 1, 2, 3, 4]
Screen: len=50 beam_w=60 thr=-6.5  |  Confirm: beam_w=200 thr=-5.5
Null-max=-6.82  |  English solve ~-4.0 to -4.35  |  Threshold=-5.5

Building keystream catalog (ks_len=1176, fib=YES) ...
  874 keystreams built in 0.3s

    #  name                             best_screen   elapsed
------------------------------------------------------------
  782  fib_26_13                             -5.922     903.2s  <== NOTABLE
  785  fib_26_16                             -5.983     907.9s  <== NOTABLE
  787  fib_26_18                             -5.906     912.3s  <== NOTABLE
  800  fib_27_2                              -6.145     932.3s
  804  fib_27_6                              -5.986     936.8s  <== NOTABLE
  809  fib_27_11                             -5.950     944.4s  <== NOTABLE
  817  fib_27_19                             -5.966     955.7s  <== NOTABLE
  820  fib_27_22                             -5.712     959.8s  <== NOTABLE
  827  fib_28_0                              -5.858     967.6s  <== NOTABLE
  828  fib_28_1                              -5.858     969.0s  <== NOTABLE
  846  fib_28_19                             -5.616     992.7s  <== NOTABLE
  848  fib_28_21                             -5.866     995.5s  <== NOTABLE
  850  fib_28_23                             -6.051     998.5s
  851  fib_28_24                             -5.957     999.8s  <== NOTABLE
  854  fib_28_27                             -5.858    1003.4s  <== NOTABLE
  855  fib_28_28                             -5.858    1004.4s  <== NOTABLE
  873  mt_311                                -6.249    1034.4s

========================================================================
SUMMARY
========================================================================
Total keystreams tested : 874
Pages tested            : 55
Total elapsed           : 1034.4s
Best screen score seen  : -5.571  (via 'fib_4_17')
Hits above CONFIRM_THR=-5.5 : 0

Scale: English solve ~ -4.0 | CONFIRM threshold = -5.5 | null-max = -6.82

NO hits above confirm threshold.  Null result consistent with OTP-class.
  Best score -5.571 is in the noise band (-7.5 floor, null-max -6.82, no signal detected).
